Python_Function,Description,Unit Test Cases
"def add_two_numbers(a, b): return a + b","Adds two numbers.

 This function takes two numerical inputs a and b and returns their sum. It assumes the inputs are integers or floats."," def test_add_two_numbers(): assert add_two_numbers(2, 3) == 5 assert add_two_numbers(-1, 1) == 0 assert add_two_numbers(0, 0) == 0"
def reverse_string(s): return s[::-1],"Reverses a string.

 This function accepts a string s and returns a new string that contains all the characters from s in reverse order. It assumes the input is a valid string.", def test_reverse_string(): assert reverse_string("hello") == "olleh" assert reverse_string("") == "" assert reverse_string("a") == "a"
"def is_prime(n): if n < 2: return False for i in range(2, int(n**0.5) + 1): if n % i == 0: return False return True","Checks if a number is prime.

 This function takes an integer n and checks if it's a prime number. A prime number is divisible only by 1 and itself. The function returns True if n is prime and False otherwise.",def test_is_prime(): assert is_prime(2) == True assert is_prime(4) == False assert is_prime(17) == True
def factorial(n): if n == 0: return 1 return n * factorial(n - 1),"Computes factorial of a number.

 This function recursively calculates the factorial of a non-negative integer n. The factorial is the product of all positive integers up to n", def test_factorial(): assert factorial(0) == 1 assert factorial(5) == 120 assert facto
def is_palindrome(s): return s == s[::-1],"Checks if a string is a palindrome.

 This function accepts a string s and returns True if the string reads the same backward as forward (i.e., is a palindrome). Otherwise, it returns False.",def test_is_palindrome(): assert is_palindrome("madam") assert not is_palindrome("hello") assert is_palindrome("racecar")
"def fibonacci(n): a, b = 0, 1 for _ in range(n): a, b = b, a + b return a","Generates the nth Fibonacci number.

 This function computes the nth Fibonacci number in the Fibonacci sequence. It uses an iterative approach to generate the sequence and returns the number at position n.", def test_fibonacci(): assert fibonacci(0) == 0 assert fibonacci(1) == 1 assert fibonacci(10) == 55
def find_max(lst): return max(lst),"Finds the maximum element in a list.

 This function takes a list of numbers
lst
and returns the maximum element from the list using Python's built-in
max()
function. It assumes the list is non-empty."," def test_find_max(): assert find_max([1, 2, 3, 4]) == 4 assert find_max([-1, -5, 0]) == 0 assert find_max([7]) == 7"
"def sum_of_squares(n): return sum(i**2 for i in range(1, n+1))","Calculates the sum of squares of the first n numbers.

 This function takes an integer n and returns the sum of the squares of all integers from 1 to n. It uses a list comprehension to generate the squares and calculates their sum.", def test_sum_of_squares(): assert sum_of_squares(3) == 14 assert sum_of_squares(5) == 55 assert sum_of_squares(1) =
def count_vowels(s): return sum(1 for char in s if char.lower() in 'aeiou'),"Counts the number of vowels in a string.

 This function takes a string s and counts the number of vowels (a, e, i, o, u) in the string, ignoring case. It returns the total count of vowels.", def test_count_vowels(): assert count_vowels("hello") == 2 assert count_vowels("xyz") == 0 assert count_vowels("AEIOU") == 5
def is_even(n): return n % 2 == 0,"Checks if a number is even.

 This function checks whether an integer""
n
is even. It returns
TRUE
if the number is even and
FALSE
otherwise.", def test_is_even(): assert is_even(2) assert not is_even(3) assert is_even(0)
def sum_list(lst): return sum(lst),"Sums all elements in a list.

 This function takes a list of numbers""
lst
and returns the sum of its elements using Python's built-in
sum()
function."," def test_sum_list(): assert sum_list([1, 2, 3]) == 6 assert sum_list([0, -1, 1]) == 0 assert sum_list([]) == 0"
def find_min(lst): return min(lst),"Finds the minimum element in a list.

 This function accepts a list of numbers""
lst
and returns the smallest number using the built-in
min()
function. It assumes the list is non-empty."," def test_find_min(): assert find_min([1, 2, 3, 4]) == 1 assert find_min([-1, -5, 0]) == -5 assert find_min([7]) == 7"
def count_words(s): return len(s.split()),"Counts the words in a string.

 This function takes a string""
s
and returns the number of words it contains by splitting the string by whitespace and counting the resulting substrings.", def test_count_words(): assert count_words("Hello world") == 2 assert count_words("") == 0 assert count_words("one two three") == 3
"def gcd(a, b): while b: a, b = b, a % b return a","Computes the greatest common divisor (GCD) of two numbers.

 This function takes two integers""
a
and
b
and returns their greatest common divisor using the Euclidean algorithm."," def test_gcd(): assert gcd(48, 18) == 6 assert gcd(7, 1) == 1 assert gcd(100, 25) == 25"
def find_duplicates(lst): return list(set([x for x in lst if lst.count(x) > 1])),"Finds duplicate elements in a list.

 This function accepts a list""
lst
and returns a new list of all elements that appear more than once in the input list. Duplicates are only included once in the result."," def test_find_duplicates(): assert find_duplicates([1, 2, 3, 2, 4, 4]) == [2, 4] assert find_duplicates([5, 6, 7]) == [] assert find_duplicates([1, 1, 1]) == [1]"
"def is_anagram(s1, s2): return sorted(s1) == sorted(s2)","Checks if two strings are anagrams.

 This function takes two strings""""
s1
and
s2
and checks whether they are anagrams by comparing the sorted characters of each string. It returns
TRUE
if they are anagrams and
FALSE
otherwise.""","def test_is_anagram(): assert is_anagram(""listen"", ""silent"") assert not is_anagram(""hello"", ""world"") assert is_anagram(""evil"", ""vile"")"
"def binary_search(lst, target): low, high = 0, len(lst) - 1 while low <= high: mid = (low + high) // 2 if lst[mid] == target: return mid elif lst[mid] < target: low = mid + 1 else: high = mid - 1 return -1","Performs binary search on a sorted list.

 This function implements the binary search algorithm to find the index of a target element in a sorted list""
lst
. It returns the index of the target if found, otherwise it returns -1."," def test_binary_search(): assert binary_search([1, 2, 3, 4, 5], 3) == 2 assert binary_search([10, 20, 30], 25) == -1 assert binary_search([1, 3, 5, 7], 7) == 3"
def flatten_list(nested_list): return [item for sublist in nested_list for item in sublist],"Flattens a nested list.

 This function takes a list of lists"," def test_flatten_list(): assert flatten_list([[1, 2], [3, 4]]) == [1, 2, 3, 4] assert flatten_list([[], [5]]) == [5] assert flatten_list([[1], [2], [3]]) == [1, 2, 3]"
def remove_duplicates(lst): return list(set(lst)),"Removes duplicate elements from a list.

 This function accepts a list""""
lst
and returns a new list with all duplicates removed. It uses a set to eliminate duplicate elements.""
lst
and returns a new list with all duplicates removed. It uses a set to eliminate duplicate elements."," def test_remove_duplicates(): assert remove_duplicates([1, 1, 2, 2]) == [1, 2] assert remove_duplicates([3, 4, 4, 3]) == [3, 4] assert remove_duplicates([5]) == [5]"
def to_uppercase(s): return s.upper(),"Converts a string to uppercase.

 This function accepts a string""
s
and converts all the characters to uppercase using Python's built-in
upper()
method.", def test_to_uppercase(): assert to_uppercase("hello") == "HELLO" assert to_uppercase("") == "" assert to_uppercase("") == ""
"def is_subset(set_a, set_b): return set_a.issubset(set_b)","Checks if a set is a subset of another.

 This function takes two sets,""
set_a
and
set_b
, and checks if
set_a
is a subset of
set_b
. It returns
TRUE
if all elements of
set_a
are in
set_b
, and
FALSE
otherwise."," def test_is_subset(): assert is_subset({1, 2}, {1, 2, 3}) assert not is_subset({4}, {1, 2, 3}) assert is_subset(set(), {1, 2, 3})"
def celsius_to_fahrenheit(c): return (c * 9/5) + 32,"Converts Celsius to Fahrenheit.

 This function converts a given temperature in degrees Celsius""
c
to Fahrenheit using the formula
F = (C * 9/5) + 32
. It returns the temperature in Fahrenheit.", def test_celsius_to_fahrenheit(): assert celsius_to_fahrenheit(0) == 32 assert celsius_to_fahrenheit(100) == 212 assert celsius_to_fahrenheit(-40) == -40
def fahrenheit_to_celsius(f): return (f - 32) * 5/9,"Converts Fahrenheit to Celsius.

 This function converts a given temperature in degrees Fahrenheit""
f
to Celsius using the formula
C = (F - 32) * 5/9
. It returns the temperature in Celsius.", def test_fahrenheit_to_celsius(): assert fahrenheit_to_celsius(32) == 0 assert fahrenheit_to_celsius(212) == 100 assert fahrenheit_to_celsius(-40) == -40
def square(n): return n * n,"Returns the square of a number.

 This function takes a number n and returns its square by multiplying n by itself.",def test_square(): assert square(3) == 9 assert square(0) == 0 assert square(-2) == 4
def cube(n): return n ** 3,"Returns the cube of a number.

 This function takes a number n and returns its cube by raising n to the power of 3.
Returns the absolute value of a number.

This function takes a number n and returns its absolute value using Python's built-in abs() function.",def test_cube(): assert cube(3) == 27 assert cube(0) == 0 assert cube(-2) == -8
"def merge_two_lists(lst1, lst2): return sorted(lst1 + lst2)","Merges two lists and sorts the result.

This function takes two lists lst1 and lst2, merges them into one list, and returns the sorted result.","def test_merge_two_lists(): assert merge_two_lists([1, 3], [2, 4]) == [1, 2, 3, 4] assert merge_two_lists([], [5]) == [5] assert merge_two_lists([7], []) == [7]"
"def count_occurrences(lst, value): return lst.count(value)","Counts occurrences of a value in a list.

This function takes a list lst and a value and returns the number of times the value appears in the list using Python's built-in count() method.","def test_count_occurrences(): assert count_occurrences([1, 2, 2, 3], 2) == 2 assert count_occurrences([4, 5, 6], 7) == 0 assert count_occurrences([], 1) == 0"
def to_lowercase(s): return s.lower(),"Converts a string to lowercase.

This function accepts a string s and converts all its characters to lowercase using Python's lower() method.",def test_to_lowercase(): assert to_lowercase("HELLO") == "hello" assert to_lowercase("Python") == "python" assert to_lowercase("") == ""
def capitalize_words(s): return ' '.join([word.capitalize() for word in s.split()]),"Capitalizes the first letter of each word in a string.

This function accepts a string s and returns a new string with the first letter of each word capitalized. It splits the string into words, capitalizes each one, and then joins them back into a string.",def test_capitalize_words(): assert capitalize_words("hello world") == "Hello World" assert capitalize_words("is fun") == "Is Fun" assert capitalize_words("") == ""
def count_digits(n): return len([char for char in str(n) if char.isdigit()]),"Counts the number of digits in a number.

This function converts a number n to a string and counts how many characters in the string are digits. It returns the total count.",def test_count_digits(): assert count_digits(12345) == 5 assert count_digits(0) == 1 assert count_digits(-9876) == 4
def flatten_nested_lists(lst): return [item for sublist in lst for item in sublist],"Flattens a list of lists into a single list.

This function takes a list of lists lst and returns a single list containing all elements of the sublists, effectively flattening the input.","def test_flatten_nested_lists(): assert flatten_nested_lists([[1, 2], [3, 4]]) == [1, 2, 3, 4] assert flatten_nested_lists([[], []]) == [] assert flatten_nested_lists([[5], [6, 7]]) == [5, 6, 7]"
def find_first_duplicate(lst): seen = set() for item in lst: if item in seen: return item seen.add(item) return None,"Finds the first duplicate in a list.

This function takes a list lst and returns the first duplicate element it finds. It returns None if no duplicates exist.","def test_find_first_duplicate(): assert find_first_duplicate([1, 2, 3, 2]) == 2 assert find_first_duplicate([4, 5, 6]) == None assert find_first_duplicate([7, 8, 9, 7, 10]) == 7"
"def is_divisible(a, b): return a % b == 0","Checks if a number is divisible by another number.

This function takes two numbers a and b and returns True if a is divisible by b, otherwise it returns False.","def test_is_divisible(): assert is_divisible(10, 2) assert not is_divisible(10, 3) assert is_divisible(0, 5)"
def is_leap_year(year): return (year % 4 == 0 and year % 100 != 0) or (year % 400 == 0),"Checks if a year is a leap year.

This function checks if a given year is a leap year. A leap year is divisible by 4 but not divisible by 100 unless it is also divisible by 400.",def test_is_leap_year(): assert is_leap_year(2020) assert not is_leap_year(1900) assert is_leap_year(2000)
def sum_of_digits(n): return sum(int(digit) for digit in str(abs(n))),"Sums the digits of a number.

This function takes an integer n, converts it to a string, and sums its digits. The absolute value is used to handle negative numbers.",def test_sum_of_digits(): assert sum_of_digits(123) == 6 assert sum_of_digits(-456) == 15 assert sum_of_digits(0) == 0
def is_perfect_square(n): return int(n ** 0.5) ** 2 == n,"Checks if a number is a perfect square.

This function takes a number n and returns True if n is a perfect square, otherwise False. A perfect square is an integer that can be expressed as the square of another integer.",def test_is_perfect_square(): assert is_perfect_square(25) assert not is_perfect_square(26) assert is_perfect_square(0)
def is_power_of_two(n): return n > 0 and (n & (n - 1)) == 0,"Checks if a number is a power of two.

This function checks if a given integer n is a power of two. It returns True if n is a power of two, otherwise False.",def test_is_power_of_two(): assert is_power_of_two(16) assert not is_power_of_two(18) assert is_power_of_two(1)
